,intent,example
2763,cancel,مایل به ادامه‌ی این فرآیند نیستم، چون به نظرم الان بهتره انرژی‌مون رو روی پروژه‌های دیگه‌ای متمرکز کنیم.
2764,cancel,ولش کن، چون به این نتیجه رسیدم که این کار وقت و انرژی زیادی می‌بره و ارزشش رو نداره.
2765,cancel,بیخیال شدم و نمی‌خوام ادامه بدم، چون احساس می‌کنم این موضوع به اندازه‌ی کافی مهم نیست.
2766,cancel,نه نمی‌خوام اینکارو انجام بدم، چون به نظرم بهتره وقتمون رو به پروژه‌های دیگه اختصاص بدیم.
2767,cancel,نظر من عوض شد، نیازی به انجام این کار ندارم، چون فکر می‌کنم این موضوع اولویت نداره.
2768,cancel,نظرم عوض شد و دیگه نمی‌خوام ادامه بدم، چون به این نتیجه رسیدم که این مسیر بی‌فایده است.
2769,cancel,بیخیال شدم چون به نظرم این کار دیگه ارزش پیگیری نداره و باید ازش صرف‌نظر کنیم.
2770,cancel,توقف کن چون فکر می‌کنم این کار دیگه ضرورتی نداره و بهتره روش‌های دیگه‌ای رو امتحان کنیم.
2771,cancel,متوقف کن، چون احساس می‌کنم این مسیر به جایی نمی‌رسه و باید تمرکزمون رو جای دیگه بذاریم.
2772,cancel,بی‌خیال شو چون به نظرم این موضوع ارزش ادامه دادن نداره و بهتره ازش صرف‌نظر کنیم.
2773,cancel,هیچی ولش کن، چون فکر می‌کنم این کار بی‌فایده است و باید به چیز دیگه‌ای بپردازیم.
2774,cancel,کنسل کن، چون به نظرم این مسیر به نتیجه نمی‌رسه و بهتره تمرکز رو جای دیگه‌ای بذاریم.
2775,cancel,از ادامه دادن منصرف شدم چون به نظرم این کار دیگه اولویت نداره و باید ازش صرف‌نظر کنیم.
2776,cancel,تشکر ممنون نیازی به ادامه نیست، چون به این نتیجه رسیدم که این موضوع دیگه مهم نیست.
2777,cancel,ادامه نده، چون فکر می‌کنم این کار دیگه ارزش پیگیری نداره و باید روش دیگه‌ای رو امتحان کنیم.
2778,cancel,نیازی نیست که ادامه دهی، منصرف شدم، چون حس می‌کنم این موضوع به اندازه‌ی کافی اهمیت نداره.
2779,cancel,ادامه فرآیندی که داری انجام می‌دهی را کنسل کن، چون به نظرم این کار دیگه ضرورتی نداره.
2780,cancel,کارت را متوقف کن، چون به این نتیجه رسیدم که این مسیر بی‌فایده است و باید به چیز دیگه‌ای بپردازیم.
2781,cancel,منصرف شدم
2782,cancel,نمی خوام ادامه بدم
2783,cancel,از ادامه ی این کار منصرف شدم
2784,cancel,مایل به ادامه ی این فرآیند نیسیتم
2785,cancel,ولش کن
2786,cancel,بیخیال شدم نمی خوام ادامه بدم
2787,cancel,نه نمی خوام اینکارو انجام بدم
2788,cancel,نظر من عوض شد، نیازی به انجام این کار ندارم
2789,cancel,نظرم عوض شد
2790,cancel,بیخیال شدم
2791,cancel,توقف
2792,cancel,بی خیال
2793,cancel,هیچی ولش کن
2794,cancel,کنسل کن
2795,cancel,منصرف شدم
2796,cancel,انصراف
2797,cancel,کنسل
2798,cancel,بیخیال
2799,cancel,نخواستم
2800,cancel,هیچی نخواستم
2801,cancel,اصلا نخواستم
2802,cancel,بی خیالش شدم
2803,cancel,پشیمون شدم
2804,cancel,پشیمان شدم
2805,cancel,کنسلش کن
2806,cancel,لغو درخواست
2807,cancel,بیخیال شو
2808,cancel,منظورم این نبود
2809,cancel,اینو نمی خواستم
2810,cancel,منظورم یه چیز دیگه ای بود
2811,cancel,این درخواست رو کنسل کن
2812,cancel,توقف کن
